citing_oid	citing_date	nd_cite	nw_cite	class	fix	context
17474	2019-05-16	2018 ND 26	905 N.W.2d 764	DB_NO_PARALLEL		"a legislative question which is not subject to judicial review."" *Brandt* , 2018 ND 26 , ¶ 12, 905 N.W.2d 764 . The n"
17474	2019-05-16	2018 ND 26	905 N.W.2d 764	DB_NO_PARALLEL		"rity, such determination should not be disturbed by the courts."" *Brandt* , 2018 ND 26 , ¶ 11, 905 N.W.2d 764 (quotin"
19351	2019-05-16	2018 ND 18	905 N.W.2d 758	DB_NO_PARALLEL		ecision is not contrary to the manifest weight of the evidence. State v. Adams, 2018 ND 18, ¶ 8, 905 N.W.2d 758. Althoug
19351	2019-05-16	2018 ND 18	905 N.W.2d 758	DB_NO_PARALLEL		h Amendment rights were violated by the challenged search or seizure.”); Adams, 2018 ND 18, ¶ 16, 905 N.W.2d 758 (Tufte,
19351	2019-05-16	2018 ND 18	905 N.W.2d 758	DB_NO_PARALLEL		lusive, in the context of a variety of other constitutional effects. See Adams, 2018 ND 18, ¶ 12, 905 N.W.2d 758 (reject
19352	2019-05-16	2011 ND 105	799 N.W.2d 406	OTHER		or occasions. See Interest of J.M., 2006 ND 96, 713 N.W.2d 518; Matter of J.M., 2011 ND 105, 799 N.W.2d 406; In re J.
19357	2019-05-16	2018 ND 34	905 N.W.2d 914	DB_NO_PARALLEL		unanticipated change in valuation of an asset occurs. See Innis-Smith v. Smith, 2018 ND 34, ¶ 19, 905 N.W.2d 914; see al
19358	2019-05-16	2018 ND 23	905 N.W.2d 744	DB_NO_PARALLEL		motions for relief from a judgment under N.D.R.Civ.P. 60(b). Kautzman v. Doll, 2018 ND 23, ¶ 9, 905 N.W.2d 744. A distri
17482	2019-06-27	2008 ND 126	756 N.W.2d 344	OTHER		uilty of gross sexual imposition. This Court affirmed. *State v. Everett* , 2008 ND 126 , 756 N.W.2d 344 . Evere
17482	2019-06-27	2015 ND 162	870 N.W.2d 26	DB_NO_PARALLEL		ett v. State* , 2016 ND 78 , 877 N.W.2d 796 ; *Everett v. State* , 2015 ND 162 , 870 N.W.2d 26 ; *Sta
17482	2019-06-27	2014 ND 191	858 N.W.2d 652	OTHER		ett v. State* , 2015 ND 162 , 870 N.W.2d 26 ; *State v. Everett* , 2014 ND 191 , 858 N.W.2d 652 ; *Eve
17482	2019-06-27	2012 ND 189	821 N.W.2d 385	OTHER		v. Everett* , 2014 ND 191 , 858 N.W.2d 652 ; *Everett v. State* , 2012 ND 189 , 821 N.W.2d 385 ; *Eve
17482	2019-06-27	2011 ND 221	806 N.W.2d 438	OTHER		tt v. State* , 2012 ND 189 , 821 N.W.2d 385 ; *Everett v. State* , 2011 ND 221 , 806 N.W.2d 438 ; *Eve
17482	2019-06-27	2010 ND 226	795 N.W.2d 37	DB_NO_PARALLEL		tt v. State* , 2011 ND 221 , 806 N.W.2d 438 ; *Everett v. State* , 2010 ND 226 , 795 N.W.2d 37 ; *Eve
17484	2019-06-27	2015 ND 108	865 N.W.2d 124	OTHER		viction for gross sexual imposition was affirmed in *State v. Blackcloud* , 2015 ND 108 , 865 N.W.2d 124 . On th
17498	2019-06-27	2018 ND 53	907 N.W.2d 351	DB_NO_PARALLEL		other spousal support ordered for periods of short duration. See Tuhy v. Tuhy, 2018 ND 53, ¶¶ 14-15 , 907 N.W.2d 351 (us
17498	2019-06-27	2018 ND 53	907 N.W.2d 351	DB_NO_PARALLEL		r spousal support ordered for periods of short duration. *See* *Tuhy v. Tuhy* , 2018 ND 53, ¶¶ 14-15, 907 N.W.2d 351 (us
17503	2019-06-27	2018 ND 59	907 N.W.2d 344	DB_NO_PARALLEL		court’s findings of fact under a clearly erroneous standard.” Koenig v. State, 2018 ND 59, ¶ 12 , 907 N.W.2d 344 (quotin
17503	2019-06-27	2018 ND 59	907 N.W.2d 344	DB_NO_PARALLEL		t under N.D.C.C. § 29-19-02. See N.D.C.C. § 29-19-02; see also Koenig v. State, 2018 ND 59, ¶ 16 , 907 N.W.2d 344 . The 
17503	2019-06-27	2018 ND 59	907 N.W.2d 344	DB_NO_PARALLEL		October 3, 2017. Watson’s election was timely. See N.D.C.C. § 29-19-02; Koenig, 2018 ND 59, ¶ 19 , 907 N.W.2d 344 (stati
17503	2019-06-27	2018 ND 59	907 N.W.2d 344	DB_NO_PARALLEL		olated is subject to the clearly erroneous standard of review. Koenig v. State, 2018 ND 59, ¶ 12 , 907 N.W.2d 344 ; see 
17503	2019-06-27	2018 ND 59	907 N.W.2d 344	DB_NO_PARALLEL		"ourt's findings of fact under a clearly erroneous standard."" *Koenig v. State,* 2018 ND 59, ¶ 12, 907 N.W.2d 344 (quotin"
17503	2019-06-27	2018 ND 59	907 N.W.2d 344	DB_NO_PARALLEL		N.D.C.C. § 29-19-02. *See* N.D.C.C. § 29-19-02 ; *see also* *Koenig v. State* , 2018 ND 59, ¶ 16, 907 N.W.2d 344. The de
17503	2019-06-27	2018 ND 59	907 N.W.2d 344	DB_NO_PARALLEL		r 3, 2017. Watson's election was timely. *See* N.D.C.C. § 29-19-02 ; *Koenig* , 2018 ND 59, ¶ 19, 907 N.W.2d 344 (statin
17503	2019-06-27	2018 ND 59	907 N.W.2d 344	DB_NO_PARALLEL		ated is subject to the clearly erroneous standard of review. *Koenig v. State,* 2018 ND 59, ¶ 12, 907 N.W.2d 344 ; *see 
17526	2019-06-27	2018 ND 58	907 N.W.2d 765	DB_NO_PARALLEL		onal mental process leading to a reasoned determination. *State v. White* , 2018 ND 58 , ¶ 8, 907 N.W.2d 765 . A cou
19363	2019-06-27	2015 ND 256	872 N.W.2d 633	DB_NO_PARALLEL		ge. T.A.G. appealed the 2012 order and this Court affirmed. Interest of T.A.G., 2015 ND 256, 872 N.W.2d 633. [¶3] I
17517	2019-07-03	2018 ND 24	905 N.W.2d 734	DB_NO_PARALLEL		ief has the burden of establishing grounds for relief. *Horvath v. State* , 2018 ND 24 , ¶ 6, 905 N.W.2d 734 ; *Gre
17531	2019-07-11	2018 ND 253	920 N.W.2d 454	ND_DIGIT_FLIP	2018 ND 253 -> 2018 ND 250	"nity to judge the witnesses' credibility."" *See also* *Tornabeni v. Wold* , 2018 ND 253 , ¶ 16, 920 N.W.2d 454 . ""A di"
17531	2019-07-11	2018 ND 53	907 N.W.2d 351	DB_NO_PARALLEL		ed on appeal to the issues raised in the new trial motion. *Tuhy v. Tuhy* , 2018 ND 53 , ¶ 21, 907 N.W.2d 351 . The i
17534	2019-07-11	2017 ND 87	894 N.W.2d 908	ND_DIGIT_FLIP	2017 ND 87 -> 2017 ND 89	on judgment to this Court, which we summarily affirmed. *State v. Caster* , 2017 ND 87 , 894 N.W.2d 908 . [¶3]
17534	2019-07-11	2018 ND 59	907 N.W.2d 344	DB_NO_PARALLEL		able inference raises a genuine issue of material fact. *Koenig v. State* , 2018 ND 59 , ¶ 26, 907 N.W.2d 344 (citati
17534	2019-07-11	2018 ND 59	907 N.W.2d 344	DB_NO_PARALLEL		and the moving party is entitled to judgment as a matter of law. *Koenig* , 2018 ND 59 , ¶ 28, 907 N.W.2d 344 . After
17543	2019-07-30	2017 ND 288	904 N.W.2d 34	OTHER		ainst North Dakota public policy. *See* *Osborne v. Brown &Saenger, Inc.* , 2017 ND 288 , ¶ 13, 904 N.W.2d 34 . Notwi
17548	2019-07-30	2018 ND 43	907 N.W.2d 378	DB_NO_PARALLEL		ittenger* , 2019 ND 22 , ¶ 8, 921 N.W.2d 439 ; *State v. Decker* , 2018 ND 43 , ¶ 8, 907 N.W.2d 378 ; *Sta
17548	2019-07-30	2018 ND 43	907 N.W.2d 378	DB_NO_PARALLEL		"to rise to the level of a constitutional violation.' "" *State v. Decker* , 2018 ND 43 , ¶ 13, 907 N.W.2d 378 (quotin"
17548	2019-07-30	2018 ND 43	907 N.W.2d 378	DB_NO_PARALLEL		"ctly requir[e] the trial court to make findings before closure."" *Decker* , 2018 ND 43 , ¶ 9, 907 N.W.2d 378 . This"
17548	2019-07-30	2018 ND 43	907 N.W.2d 378	DB_NO_PARALLEL		"ify; and (4) discouraging perjury."" *Rogers* , at ¶ 9 (quoting *Decker* , 2018 ND 43 , ¶ 14, 907 N.W.2d 378 ). [¶2"
17548	2019-07-30	2018 ND 43	907 N.W.2d 378	DB_NO_PARALLEL		eld the *Waller* findings must be made *before* a closure. *Decker* , 2018 ND 43 , ¶ 9, 907 N.W.2d 378 . It is
17575	2019-07-30	2018 ND 60	907 N.W.2d 340	DB_NO_PARALLEL		"ion for ""any other felony offense"" in that statute. *See* *State v. Isom* , 2018 ND 60 , ¶¶ 10, 17, 907 N.W.2d 340 (hold"
17549	2019-07-31	2018 ND 28	906 N.W.2d 65	DB_NO_PARALLEL		hen ruling on a summary judgment motion. *Martin v. Marquee Pacific, LLC* , 2018 ND 28 , ¶ 10, 906 N.W.2d 65 . Decid
17549	2019-07-31	2018 ND 28	906 N.W.2d 65	DB_NO_PARALLEL		's and RK Electric's evidence was more persuasive. *See* *126 *Martin* , 2018 ND 28 , ¶ 10, 906 N.W.2d 65 (explai
17552	2019-08-05	2017 ND 40	891 N.W.2d 778	DB_NO_PARALLEL		he applications were denied and affirmed on appeal. *Kovalevich v. State* , 2017 ND 40 , 891 N.W.2d 778 ; *Kov
19374	2019-08-22	2018 ND 154	913 N.W.2d 774	OTHER		se’s failure to supply a transcript of the evidentiary hearing. Chase v. State, 2018 ND 154, ¶ 1, 913 N.W.2d 774. [¶3] O
17570	2019-08-27	2018 ND 28	906 N.W.2d 65	DB_NO_PARALLEL		empt to discern the truth of the matter. *Martin v. Marquee Pacific, LLC* , 2018 ND 28 , ¶ 10, 906 N.W.2d 65 . Decid
17570	2019-08-27	2018 ND 28	906 N.W.2d 65	DB_NO_PARALLEL		")). ""Whether a party acted in good faith is a question of fact."" *Martin* , 2018 ND 28 , ¶ 23, 906 N.W.2d 65 . [¶19"
17574	2019-09-12	2018 ND 9	906 N.W.2d 73	DB_NO_PARALLEL		eference to the agency's decision. *Guthmiller, v. N.D. Dep't of Transp.* , 2018 ND 9 , ¶ 6, 906 N.W.2d 73 . This
19379	2019-09-12	2018 ND 57	907 N.W.2d 370	DB_NO_PARALLEL		d of review, and its conclusions of law are fully reviewable. Sauter v. Miller, 2018 ND 57, ¶ 8, 907 N.W.2d 370; Moody v
19379	2019-09-12	2018 ND 29	906 N.W.2d 98	DB_NO_PARALLEL		inger, 2002 ND 38, ¶ 7, 640 N.W.2d 454; see also Benson v. Feland Bros. Props., 2018 ND 29, ¶ 15, 906 N.W.2d 98; Benson 
19379	2019-09-12	2018 ND 47	907 N.W.2d 413	DB_NO_PARALLEL		ication the fee of the property is in the public. Winnie Dev. LLLP v. Reveling, 2018 ND 47, ¶ 8, 907 N.W.2d 413 (quoting
19379	2019-09-12	2018 ND 47	907 N.W.2d 413	DB_NO_PARALLEL		v. Bridgeport City Trust Co., 429 A.2d 865 (Conn. 1980); see also Winnie Dev., 2018 ND 47, ¶ 13, 907 N.W.2d 413; Tibert 
19379	2019-09-12	2018 ND 47	907 N.W.2d 413	DB_NO_PARALLEL		ect to an adverse possession claim.1 1We note that our decision in Winnie Dev., 2018 ND 47, ¶ 9, 907 N.W.2d 413, is not 
19379	2019-09-12	2018 ND 29	906 N.W.2d 98	DB_NO_PARALLEL		dicate an assertion of the occupant’s claim of exclusive ownership. See Benson, 2018 ND 29, ¶ 15, 906 N.W.2d 98; Gruebel
19382	2019-10-03	2016 ND 48	876 N.W.2d 485	OTHER		enied Vogt’s application. Vogt appealed and this Court affirmed. Vogt v. State, 2016 ND 48, 876 N.W.2d 485. In 2017,
19392	2019-10-03	2018 ND 33	905 N.W.2d 909	DB_NO_PARALLEL		arly abused its discretion or a manifest injustice would occur. State v. Rende, 2018 ND 33, ¶ 5, 905 N.W.2d 909. An abus
19395	2019-10-29	2018 ND 28	906 N.W.2d 65	DB_NO_PARALLEL		rt is subject to the doctrine of res judicata. See Martin v. Marquee Pac., LLC, 2018 ND 28, ¶ 18, 906 N.W.2d 65, 71-72. 
19400	2019-10-29	2019 ND 51	923 N.W.2d 123	OTHER		N.D.C.C. § 29-28-07 and is a jurisdictional matter. See, e.g., State v. Powley, 2019 ND 51, ¶ 7, 923 N.W.2d 123; State v
19400	2019-10-29	2019 ND 51	923 N.W.2d 123	OTHER		ssue a supervisory writ to reverse the district court’s order. [¶8] In Powley, 2019 ND 51, ¶ 12, 923 N.W.2d 123, we said
19400	2019-10-29	2019 ND 51	923 N.W.2d 123	OTHER		sarily create extraordinary circumstances justifying supervisory jurisdiction.” 2019 ND 51, ¶ 13, 923 N.W.2d 123. Nor, f
19405	2019-10-29	2018 ND 56	907 N.W.2d 361	DB_NO_PARALLEL		e will not address issues raised for the first time on appeal.” State v. Rende, 2018 ND 56, ¶ 14, 907 N.W.2d 361. Glen B
19407	2019-10-29	2018 ND 28	906 N.W.2d 65	DB_NO_PARALLEL		ried or could have been tried in earlier actions.” Martin v. Marquee Pac., LLC, 2018 ND 28, ¶ 18, 906 N.W.2d 65 (citing 
19410	2019-11-01	2016 ND 217	888 N.W.2d 205	OTHER		melia Hirsch Trust, 2017 ND 291, 904 N.W.2d 740; Matter of Emelia Hirsch Trust, 2016 ND 217, 888 N.W.2d 205; Matter o
19410	2019-11-01	2013 ND 63	832 N.W.2d 334	DB_NO_PARALLEL		melia Hirsch Trust, 2014 ND 135, 848 N.W.2d 719; Matter of Emelia Hirsch Trust, 2013 ND 63, 832 N.W.2d 334. [¶2] Be
19421	2019-11-20	2018 ND 30	905 N.W.2d 728	DB_NO_PARALLEL		d 523 (quoting Wolt v. Wolt, 2010 ND 26, ¶ 7, 778 N.W.2d 786). Valeu v. Strube, 2018 ND 30, ¶ 8, 905 N.W.2d 728. [¶11] T
19425	2019-11-25	2018 ND 34	905 N.W.2d 914	DB_NO_PARALLEL		h a definite and firm conviction a mistake has been made. Innis-Smith v. Smith, 2018 ND 34, ¶ 7, 905 N.W.2d 914. A court
19425	2019-11-25	2018 ND 21	905 N.W.2d 772	DB_NO_PARALLEL		ict court when its decision is supported by the evidence. Thompson v. Thompson, 2018 ND 21, ¶ 8, 905 N.W.2d 772. A court
19425	2019-11-25	2019 ND 54	923 N.W.2d 137	OTHER		joint decisionmaking responsibility to both parents. See, e.g., Dick v. Erman, 2019 ND 54, ¶ 15, 923 N.W.2d 137. [¶9] Be
19425	2019-11-25	2018 ND 21	905 N.W.2d 772	DB_NO_PARALLEL		e order granting primary residential responsibility to Raina Saastad. Thompson, 2018 ND 21, ¶ 8, 905 N.W.2d 772. III [¶
19429	2019-12-12	2018 ND 33	905 N.W.2d 909	DB_NO_PARALLEL		arly abused its discretion or a manifest injustice would occur. State v. Rende, 2018 ND 33, ¶ 5, 905 N.W.2d 909. An abus
19429	2019-12-12	2019 ND 246	933 N.W.2d 918	DB_NO_PARALLEL		her proceedings would be productive of manifest injustice. Id.” State v. Tyler, 2019 ND 246, ¶ 5, 933 N.W.2d 918. III [
19432	2019-12-12	2018 ND 26	905 N.W.2d 764	DB_NO_PARALLEL		d protection project to protect the city of Fargo.” In Brandt v. City of Fargo, 2018 ND 26, ¶¶ 1, 14, 905 N.W.2d 764, we
19432	2019-12-12	2019 ND 240	934 N.W.2d 5	DB_NO_PARALLEL		ment is a question of law that we review de novo on the record. Brock v. Price, 2019 ND 240, ¶ 10, 934 N.W.2d 5 (quoting
19436	2019-12-12	2018 ND 12	906 N.W.2d 77	DB_NO_PARALLEL		econcile and harmonize potentially conflicting provisions. State v. Kostelecky, 2018 ND 12, ¶ 8, 906 N.W.2d 77. When a p
19438	2019-12-12	2018 ND 154	913 N.W.2d 774	OTHER		ntelligent consideration of the district court’s alleged error. Chase v. State, 2018 ND 154, ¶ 1, 913 N.W.2d 774. An app
19442	2019-12-12	2019 ND 230	933 N.W.2d 84	DB_NO_PARALLEL		dence, this Court is convinced a mistake has been made. See Larson v. Tonneson, 2019 ND 230, ¶ 10, 933 N.W.2d 84. [¶16]
19443	2019-12-12	2018 ND 50	907 N.W.2d 758	DB_NO_PARALLEL		Civil Procedure govern post-conviction relief proceedings. Blackcloud v. State, 2018 ND 50, ¶ 5, 907 N.W.2d 758. Whether
19448	2019-12-17	2018 ND 62	907 N.W.2d 769	DB_NO_PARALLEL		nt or deny a motion for a new trial under N.D.R.Civ.P. 59(b). Riddle v. Riddle, 2018 ND 62, ¶ 5, 907 N.W.2d 769. Our rev
19448	2019-12-17	2018 ND 21	905 N.W.2d 772	DB_NO_PARALLEL		sser v. Grasser, 2018 ND 85, ¶ 17, 909 N.W.2d 99 (quoting Thompson v. Thompson, 2018 ND 21, ¶ 7, 905 N.W.2d 772). [¶13]
19448	2019-12-17	2019 ND 54	923 N.W.2d 137	OTHER		who will best promote the children’s best interests and welfare. Dick v. Erman, 2019 ND 54, ¶ 7, 923 N.W.2d 137. The cou
19448	2019-12-17	2018 ND 53	907 N.W.2d 351	DB_NO_PARALLEL		efits of the judgment. We summarily reject her motion. See, e.g., Tuhy v. Tuhy, 2018 ND 53, ¶¶ 6-8, 907 N.W.2d 351; DeMe
19448	2019-12-17	2018 ND 53	907 N.W.2d 351	DB_NO_PARALLEL		ng of fact, which is subject to the clearly erroneous standard of review. Tuhy, 2018 ND 53, ¶ 10, 907 N.W.2d 351. We vie
19448	2019-12-17	2018 ND 53	907 N.W.2d 351	DB_NO_PARALLEL		ine the total value of all marital property before dividing the property. Tuhy, 2018 ND 53, ¶ 10, 907 N.W.2d 351. The co
19448	2019-12-17	2018 ND 53	907 N.W.2d 351	DB_NO_PARALLEL		g Cartier v. Nw. Elec., Inc., 2010 ND 14, ¶ 16, 777 N.W.2d 866); see also Tuhy, 2018 ND 53, ¶ 22, 907 N.W.2d 351. [¶23] 
19448	2019-12-17	2018 ND 53	907 N.W.2d 351	DB_NO_PARALLEL		w of this issue by failing to raise it in his motion for a new trial. See Tuhy, 2018 ND 53, ¶ 22, 907 N.W.2d 351. V [¶30
19449	2019-12-18	2010 ND 241	795 N.W.2d 38	DB_NO_PARALLEL		marily affirmed an order committing Voisine for treatment. Interest of Voisine, 2010 ND 241, ¶ 1, 795 N.W.2d 38.” [¶3] T
19449	2019-12-18	2014 ND 178	859 N.W.2d 930	DB_NO_PARALLEL		7; Interest of Voisine, 2016 ND 254, ¶ 24, 888 N.W.2d 781; Interest of Voisine, 2014 ND 178, ¶ 2, 859 N.W.2d 930; Intere
19449	2019-12-18	2012 ND 250	823 N.W.2d 786	DB_NO_PARALLEL		81; Interest of Voisine, 2014 ND 178, ¶ 2, 859 N.W.2d 930; Interest of Voisine, 2012 ND 250, ¶ 1, 823 N.W.2d 786. This C
19449	2019-12-18	2014 ND 98	859 N.W.2d 930	DB_NO_PARALLEL		firmed a district court order denying post-conviction relief. Voisine v. State, 2014 ND 98, ¶ 2, 859 N.W.2d 930. [¶4] On
19450	2019-12-18	2015 ND 22	861 N.W.2d 172	DB_NO_PARALLEL		ND 71, 877 N.W.2d 298; Rath v. Rath, 2016 ND 46, 876 N.W.2d 474; Rath v. Rath, 2015 ND 22, 861 N.W.2d 172; Rath v.
19451	2019-12-18	2016 ND 26	876 N.W.2d 485	OTHER		individual in 2007. This Court has affirmed G.L.D.’s commitment. In re G.L.D., 2016 ND 26, 876 N.W.2d 485 (per curi
19451	2019-12-18	2016 ND 25	876 N.W.2d 485	OTHER		ommitment. In re G.L.D., 2016 ND 26, 876 N.W.2d 485 (per curiam); In re G.L.D., 2016 ND 25, 876 N.W.2d 485 (per curi
19451	2019-12-18	2012 ND 233	823 N.W.2d 786	DB_NO_PARALLEL		.W.2d 485 (per curiam); In re G.L.D., 2014 ND 194, 855 N.W.2d 99; In re G.L.D., 2012 ND 233, 823 N.W.2d 786 (per curi
17578	2020-01-23	2018 ND 34	905 N.W.2d 914	DB_NO_PARALLEL		. We summarily affirm under N.D.R.App.P. 35.1(a)(2). See Innis-Smith v. Smith, 2018 ND 34, ¶ 7 , 905 N.W.2d 914 (stating
17580	2020-01-23	2019 ND 280	935 N.W.2d 780	DB_NO_PARALLEL		lief can be granted de novo. Cont’l Res., Inc. v. N.D. Dep’t of Envtl. Quality, 2019 ND 280, ¶ 8 , 935 N.W.2d 780 . “Und
17580	2020-01-23	2019 ND 280	935 N.W.2d 780	DB_NO_PARALLEL		ted above, we review the dismissal of the complaint de novo. Cont’l Res., Inc., 2019 ND 280, ¶ 8 , 935 N.W.2d 780 . We a
17584	2020-01-23	2018 ND 59	907 N.W.2d 344	DB_NO_PARALLEL		court’s findings of fact under a clearly erroneous standard.” Koenig v. State, 2018 ND 59, ¶ 12 , 907 N.W.2d 344 (quotin
17584	2020-01-23	2018 ND 59	907 N.W.2d 344	DB_NO_PARALLEL		etermination on speedy trial are reviewed de novo. Id. at ¶ 9; Koenig v. State, 2018 ND 59, ¶ 12 , 907 N.W.2d 344 . [¶16
17585	2020-01-23	2018 ND 14	906 N.W.2d 81	DB_NO_PARALLEL		nkel is precluded from raising those issue in this appeal. See Glass v. Glass, 2018 ND 14, ¶¶ 5, 8 , 906 N.W.2d 81 (stat
17587	2020-01-23	2019 ND 299	936 N.W.2d 109	DB_NO_PARALLEL		. Thomas v. Thomas No. 20190094 McEvers, Justice. [¶1] In Thomas v. Thomas, 2019 ND 299 , 936 N.W.2d 109 , this Co
17587	2020-01-23	2019 ND 299	936 N.W.2d 109	DB_NO_PARALLEL		findings that the terms were not in the best interests of the children. Thomas, 2019 ND 299, ¶¶ 7, 11, 14 , 936 N.W.2d 1
17588	2020-01-23	2019 ND 256	934 N.W.2d 857	DB_NO_PARALLEL		f the statutes and the purpose for which they were enacted.” State v. G.C.H., 2019 ND 256, ¶ 13 , 934 N.W.2d 857 (quotin
19458	2020-01-23	2017 ND 12	891 N.W.2d 778	DB_NO_PARALLEL		f applications. Chatman v. State, 2018 ND 77, 908 N.W.2d 724; Chatman v. State, 2017 ND 12, 891 N.W.2d 778; State v.
19525	2020-01-23	2019 ND 240	934 N.W.2d 5	DB_NO_PARALLEL		ment is a question of law that we review de novo on the record. Brock v. Price, 2019 ND 240, ¶ 10, 934 N.W.2d 5 (quoting
19553	2020-01-23	2019 ND 263	934 N.W.2d 417	DB_NO_PARALLEL		n’s constitutional claim because it was not raised below. See Matter of Didier, 2019 ND 263, ¶ 11, 934 N.W.2d 417 (“When
17591	2020-01-29	2018 ND 47	907 N.W.2d 413	DB_NO_PARALLEL		dismissed, with prejudice. [¶14] Aftem relies on Winnie Dev. LLLP v. Reveling, 2018 ND 47 , 907 N.W.2d 413 to suppo
17593	2020-02-12	2019 ND 261	934 N.W.2d 547	DB_NO_PARALLEL		law which we review de novo on the entire record. Fettig v. Estate of Fettig, 2019 ND 261, ¶ 8 , 934 N.W.2d 547 (quoting
17595	2020-02-12	2019 ND 262	934 N.W.2d 543	DB_NO_PARALLEL		hild abuse. This Court affirmed Michelle Vetter’s conviction. State v. Vetter, 2019 ND 262 , 934 N.W.2d 543 . [¶4] A
17597	2020-02-12	2019 ND 259	934 N.W.2d 886	DB_NO_PARALLEL		Kortum v. Johnson, 2010 ND 153, ¶ 10 , 786 N.W.2d 702 ; see State v. Baltrusch, 2019 ND 259, ¶ 6 , 934 N.W.2d 886 ; Stat
17600	2020-02-12	2018 ND 10	905 N.W.2d 768	DB_NO_PARALLEL		subject involved in an action.” Cont’l Res., Inc. v. Counce Energy BC #1, LLC, 2018 ND 10, ¶ 6 , 905 N.W.2d 768 . “Issue
17601	2020-02-12	2018 ND 45	907 N.W.2d 773	DB_NO_PARALLEL		"aw."" State v. Rogers, 2018 ND 244, ¶ 23, 919 N.W.2d 193 (citing State v. Bruce, 2018 ND 45, ¶ 4, 907 N.W.2d 773 (interna"
17601	2020-02-12	2018 ND 12	906 N.W.2d 77	DB_NO_PARALLEL		"ply a de novo standard of review."" Rogers, at ¶ 23 (citing State v. Kostelecky, 2018 ND 12, ¶ 6, 906 N.W.2d 77). ""A dist"
17601	2020-02-12	2019 ND 292	936 N.W.2d 45	DB_NO_PARALLEL		"d by the victim."" N.D.C.C. § 12.1-32-08(1)[]; Rogers, at ¶ 23. State v. Walker, 2019 ND 292, ¶ 5, 936 N.W.2d 45; see als"
17601	2020-02-12	2018 ND 12	906 N.W.2d 77	DB_NO_PARALLEL		trict court is the finder of fact in ordering restitution. State v. Kostelecky, 2018 ND 12, ¶ 13, 906 N.W.2d 77 (citing 
17601	2020-02-12	2018 ND 45	907 N.W.2d 773	DB_NO_PARALLEL		ance payout has no bearing on the court's award of restitution. State v. Bruce, 2018 ND 45, ¶ 7, 907 N.W.2d 773. Pagenko
17601	2020-02-12	2018 ND 12	906 N.W.2d 77	DB_NO_PARALLEL		restitution a district court may order under N.D.C.C. § 12.1-32-08. Kostelecky, 2018 ND 12, ¶ 12, 906 N.W.2d 77. The dis
17601	2020-02-12	2018 ND 12	906 N.W.2d 77	DB_NO_PARALLEL		tate v. Tupa, 2005 ND 25, ¶¶ 8-9, 691 N.W.2d 579; see also State v. Kostelecky, 2018 ND 12, ¶ 14, 906 N.W.2d 77 (discuss
19555	2020-02-12	2019 ND 236	933 N.W.2d 916	DB_NO_PARALLEL		Jensen an opportunity to respond under N.D.R.Ct. 3.2(a)(2). See State v. Vogt, 2019 ND 236, ¶¶ 9–10, 933 N.W.2d 916 (dis
17602	2020-02-27	2019 ND 304	936 N.W.2d 539	DB_NO_PARALLEL		G.L.D. presently has serious difficulty controlling his behavior. In re G.L.D., 2019 ND 304, ¶ 8 , 936 N.W.2d 539 . [¶2]
17607	2020-02-27	2019 ND 265	935 N.W.2d 257	DB_NO_PARALLEL		on a Rule 29 motion for acquittal for an abuse of discretion. State v. Wallace, 2019 ND 265, ¶ 1 , 935 N.W.2d 257 . [¶30
17607	2020-02-27	2018 ND 12	906 N.W.2d 77	DB_NO_PARALLEL		amount a district court may order under § 12.1-32-08. State v. 8 Kostelecky, 2018 ND 12, ¶ 12 , 906 N.W.2d 77 . Harmoni
17608	2020-02-27	2019 ND 240	934 N.W.2d 5	DB_NO_PARALLEL		a rational mental process leading to a reasoned determination. Brock v. Price, 2019 ND 240, ¶ 12 , 934 N.W.2d 5 (citing
19560	2020-03-02	2018 ND 9	906 N.W.2d 73	DB_NO_PARALLEL		not in accordance with the law. Guthmiller v. Director, N.D. Dep’t of Transp., 2018 ND 9, ¶ 6, 906 N.W.2d 73 (citing H
19560	2020-03-02	2018 ND 9	906 N.W.2d 73	DB_NO_PARALLEL		d is fully reviewable on appeal. Guthmiller v. Director, N.D. Dep’t of Transp., 2018 ND 9, ¶ 6, 906 N.W.2d 73. This Cou
19560	2020-03-02	2019 ND 248	934 N.W.2d 874	DB_NO_PARALLEL		en interpreting a statute is to determine legislative intent. Herman v. Herman, 2019 ND 248, ¶ 8, 934 N.W.2d 874. “When 
19560	2020-03-02	2019 ND 290	936 N.W.2d 114	DB_NO_PARALLEL		e attempt to give meaning to every word, phrase, and sentence.” State v. Comes, 2019 ND 290, ¶ 7, 936 N.W.2d 114 (State 
19560	2020-03-02	2018 ND 12	906 N.W.2d 77	DB_NO_PARALLEL		ntence.” State v. Comes, 2019 ND 290, ¶ 7, 936 N.W.2d 114 (State v. Kostelecky, 2018 ND 12, ¶ 8, 906 N.W.2d 77). “A stat
19560	2020-03-02	2019 ND 290	936 N.W.2d 114	DB_NO_PARALLEL		o the plain language of the statute to ascertain its meanings.” State v. Comes, 2019 ND 290, ¶ 7, 936 N.W.2d 114 (citing
17618	2020-03-19	2018 ND 20	905 N.W.2d 754	DB_NO_PARALLEL		ate v. Vetter, 2019 ND 138, ¶ 5 , 927 N.W.2d 435 (quoting State v. Montgomery, 2018 ND 20, ¶ 4 , 905 N.W.2d 754 ). [¶14]
