oid	case_name	date_filed	source_path	len	dup_ratio
16959	Statoil Oil & Gas, LP v. Abaco Energy, LLC, et al. (Consolid	2017-06-16	markdown/2017/2017ND148.md	39373	0.564
12824	Ramstad v. Biewer	1999-02-23	markdown/1999/1999ND23.md	48034	0.37
