citing_oid	citing_src	cite	cited_oid	cited_row_name	pin	max	class	parallel_cite	parallel_oid	parallel_name
16473	ND	2011 ND 242	15762	State v. Mittleider (Consolidated w/2011	15	13	NO_PARALLEL	809 N.W.2d 803		
16439	ND	2003 ND 80	18473	Weninger v. Grzeskowiak	6	4	MISMATCH	657 N.W.2d 245	13739	State v. Anderson
16413	ND	2018 ND 48	19316	Rebenitsch v. Rebenitsch	18	16	MISMATCH	828 N.W.2d 510	16010	Hoverson v. Hoverson
16265	ND	2018 ND 46	19314	State v. Groce	14	12	MISMATCH	828 N.W.2d 775	16016	Hayden, et al. v. Medcenter One, Inc., e
15949	ND	2008 ND 174	15051	State v. Crabtree	27	25	MISMATCH	670 N.W.2d 876	13899	McDowell v. McDowell                    
15744	ND	1998 ND 187	12772	Almont Lumber & Equipment Co. v. Dirk	20	18	MISMATCH	581 N.W.2d 468	12719	State of North Dakota v. David Allen Moe
20315	ND	2011 ND 242	15762	State v. Mittleider (Consolidated w/2011	14	13	SAME	809 N.W.2d 303	15762	State v. Mittleider (Consolidated w/2011
16741	ND	2011 ND 242	15762	State v. Mittleider (Consolidated w/2011	14	13	SAME	809 N.W.2d 303	15762	State v. Mittleider (Consolidated w/2011
16697	ND	2011 ND 242	15762	State v. Mittleider (Consolidated w/2011	14	13	SAME	809 N.W.2d 303	15762	State v. Mittleider (Consolidated w/2011
16408	ND	2011 ND 242	15762	State v. Mittleider (Consolidated w/2011	14	13	SAME	809 N.W.2d 303	15762	State v. Mittleider (Consolidated w/2011
16362	ND	2009 ND 48	15162	Hoff v. Krebs, et al.	16	15	NO_PARALLEL	768 N.W.2d 783		
16186	ND	2011 ND 242	15762	State v. Mittleider (Consolidated w/2011	14	13	SAME	809 N.W.2d 303	15762	State v. Mittleider (Consolidated w/2011
14206	ND	1998 ND 85	12677	Campbell Farms, Faulkner Farms, and Empi	23	22	MISMATCH	575 N.W.2d 211	12625	Kyle Kenneth Bell v. State of North Dako
13175	ND	1999 ND 187	13018	Renault v. ND Workers Comp. Bureau	27	26	NO_PARALLEL	697 N.W.2d 644		
