citing_opinion_id,citation,antecedent_name,candidate_oids
11602,506 N.W.2d 368,D.D.,11481|11482
11628,512 N.W.2d 723,,11604|11605
11523,204 N.W. 856,,3181|3182
11506,506 N.W.2d 368,B.H. v. K.D.,11481|11482
11480,76 N.D. 205,,9128|20391
11330,215 N.W. 284,,3555|3556
11300,164 N.W. 698,,1841|1842
11183,466 N.W.2d 101,Court. State v. Wilson,10799|10800
11182,373 N.W.2d 392,,9452|9453
11026,204 N.W. 182,,3137|3138
11028,465 N.W.2d 155,,10792|10793
10971,202 N.W. 404,,3096|3097
10925,152 N.W. 660,,1358|1359
10659,204 N.W. 182,,3137|3138
10351,204 N.W. 182,,3137|3138
10206,100 N.W. 1084,,5|6|7
10159,310 N.W.2d 709,,8486|8487
10138,383 N.W.2d 813,,9594|9595
10198,152 N.W. 660,,1358|1359
10111,421 N.W.2d 466,,10097|10098
10085,254 N.W.2d 446,C.L.W. v. M.J.,7709|7710
9947,254 N.W.2d 446,C.L.W. v. M.J.,7709|7710
9892,112 N.W. 60,,296|297
9797,88 N.W. 1023,,5851|5852
9787,47 N.W.2d 527,,10881|10882
9628,310 N.W.2d 709,In State v. Kauffman,8486|8487
9368,112 N.W. 965,,305|306
9351,351 N.W.2d 94,,9162|9163
9322,199 N.W. 447,,2982|2983
9333,47 N.W.2d 527,,10881|10882
9347,249 N.W. 718,,4426|4428
9231,76 N.D. 205,Chester v. Erinerson,9128|20391
9127,140 N.W. 239,,1013|1014|1016
9113,76 N.D. 205,Chester v. Einarson,9128|20391
9090,54 N.W. 1026,,5217|5218
9045,254 N.W.2d 446,C.L.W. v. M.J.,7709|7710
9037,162 N.W. 302,,1720|1721
8990,194 N.W. 113,,2795|2826
8975,100 N.W. 1084,,5|6|7
8599,190 N.W. 176,,2711|2712
8567,125 N.W. 560,,615|616
8421,73 N.W. 87,,5496|5497
8342,114 N.W. 478,,355|356
8355,215 N.W. 284,,3555|3556
8213,131 N.W. 246,,765|766
8180,112 N.W. 60,,296|297
8118,204 N.W. 856,,3181|3182
8019,95 N.W. 442,,5975|5976
8003,249 N.W. 718,,4426|4428
7960,215 N.W. 284,,3555|3556
7926,24 N.D. 326,Sekerson v. Sinclair,1012|1013
7926,140 N.W. 239,,1013|1014|1016
7915,150 N.W. 926,,1295|1296
7890,254 N.W.2d 446,C.L.W. v. M.J.,7709|7710
7883,76 N.D. 205,Chester v. Einarson,9128|20391
7810,76 N.D. 205,Chester v. Einarson,9128|20391
7810,35 N.W.2d 137,,20391|9128
7796,114 N.W. 478,,355|356
7770,112 N.W. 965,,305|306
7730,76 N.D. 205,Chester v. Einarson,9128|20391
7690,76 N.D. 205,North Dakota Supreme Court. In Chester v. Einarson,9128|20391
7632,79 N.W. 869,,5634|5635
7611,150 N.W. 926,,1295|1296
7392,79 N.W. 869,,5634|5635
7348,169 N.W. 31,,1985|1989
7376,208 N.W. 104,,3287|3288
7323,228 N.W. 226,,3942|3943
7263,18 N.D. 76,,458|20386
7207,42 N.W.2d 438,,10070|10071
7215,112 N.W. 60,,296|297
7211,150 N.W. 926,,1295|1296
7111,149 N.W. 721,,1264|1265
