year	nd_or_nw	page	n	class	oid	provisional_cite	nd_cite	nw_cite	needs_image
1911-03-28	ND	21 N.D. 348	2	ND_NW_ORDERABLE	767	1911 ND 32	21 N.D. 348	131 N.W. 251	verify-ND-order
1912-06-14	ND	23 N.D. 352	2	ND_NW_ORDERABLE	929	1912 ND 69	23 N.D. 352	136 N.W. 794	verify-ND-order
1912-06-14	ND	23 N.D. 352	2	ND_NW_ORDERABLE	937	1912 ND 70	23 N.D. 352	137 N.W. 34	verify-ND-order
1912-11-20	ND	24 N.D. 326	2	ND_NW_ORDERABLE	1012	1912 ND 112	24 N.D. 326	140 N.W. 235	verify-ND-order
1912-11-20	ND	24 N.D. 326	2	ND_NW_ORDERABLE	1013	1912 ND 113	24 N.D. 326	140 N.W. 239	verify-ND-order
1913-01-29	ND	24 N.D. 395	2	ND_NW_ORDERABLE	1007	1913 ND 10	24 N.D. 395	139 N.W. 992	verify-ND-order
1913-01-29	ND	24 N.D. 395	2	ND_NW_ORDERABLE	978	1913 ND 11	24 N.D. 395	139 N.W. 1012	verify-ND-order
1914-04-13	ND	27 N.D. 458	2	ND_NW_ORDERABLE	1186	1914 ND 58	27 N.D. 458	147 N.W. 263	verify-ND-order
1914-04-13	ND	27 N.D. 458	2	ND_NW_ORDERABLE	1189	1914 ND 59	27 N.D. 458	147 N.W. 264	verify-ND-order
1916-01-06	ND	32 N.D. 373	2	ND_NW_ORDERABLE	1486	1916 ND 4	32 N.D. 373	155 N.W. 793	verify-ND-order
1916-01-06	ND	32 N.D. 373	2	ND_NW_ORDERABLE	1487	1916 ND 5	32 N.D. 373	155 N.W. 794	verify-ND-order
1916-08-08	ND	34 N.D. 601	2	ND_TRULY_TIED	1640	1916 ND 138	34 N.D. 601	159 N.W. 74	yes
1916-08-08	ND	34 N.D. 601	2	ND_TRULY_TIED	1641	1916 ND 139	34 N.D. 601	159 N.W. 74	yes
1919-01-31	ND	41 N.D. 473	2	ND_NW_ORDERABLE	2125	1919 ND 13	41 N.D. 473	172 N.W. 663	verify-ND-order
1919-01-31	ND	41 N.D. 473	2	ND_NW_ORDERABLE	20387	1919 ND 14	41 N.D. 473	182 N.W. 700 (Mem)	verify-ND-order
1919-06-21	ND	44 N.D. 247	2	ND_NW_ORDERABLE	2171	1919 ND 123	44 N.D. 247	173 N.W. 472	verify-ND-order
1919-06-21	ND	44 N.D. 247	2	ND_NW_ORDERABLE	20499	1919 ND 124	44 N.D. 247	173 N.W. 473	verify-ND-order
1919-06-21	ND	44 N.D. 250	2	ND_TRULY_TIED	2167	1919 ND 127	44 N.D. 250	173 N.W. 474	yes
1919-06-21	ND	44 N.D. 250	2	ND_TRULY_TIED	2169	1919 ND 128	44 N.D. 250	173 N.W. 474	yes
1921-01-24	ND	47 N.D. 266	2	ND_NW_ORDERABLE	2473	1921 ND 16	47 N.D. 266	181 N.W. 590	verify-ND-order
1921-01-24	ND	47 N.D. 266	2	ND_NW_ORDERABLE	20388	1921 ND 17	47 N.D. 266	181 N.W. 908	verify-ND-order
1922-12-30	ND	50 N.D. 25	2	ND_NW_ORDERABLE	2863	1922 ND 171	50 N.D. 25	195 N.W. 14	verify-ND-order
1922-12-30	ND	50 N.D. 25	2	ND_NW_ORDERABLE	20390	1922 ND 172	50 N.D. 25	195 N.W. 33 (Mem)	verify-ND-order
1934-01-15	ND	64 N.D. 367	2	ND_NW_ORDERABLE	4482	1934 ND 5	64 N.D. 367	252 N.W. 268	verify-ND-order
